1.28000000000000e+00    	1.88298558208815e-06 	 2.99996570019526e+00   0.00000000000000e+00 	1.08468010065539e-05	 1.76343768650116e-04	0.00000000000000e+00		1.00000001560739e+00
1.29000000000000e+00    	1.99062326356955e-06 	 2.99996756822835e+00   0.00000000000000e+00 	1.06717469145088e-05	 1.97294256836208e-04	0.00000000000000e+00		1.00000001951945e+00
1.30000000000000e+00    	2.09623803916986e-06 	 2.99996964655767e+00   0.00000000000000e+00 	1.04419561762165e-05	 2.18387794561684e-04	0.00000000000000e+00		1.00000002390113e+00
1.31000000000000e+00    	2.19927496125000e-06 	 2.99997193614943e+00   0.00000000000000e+00 	1.01559461651704e-05	 2.39530774399393e-04	0.00000000000000e+00		1.00000002873907e+00
1.32000000000000e+00    	2.29916528976323e-06 	 2.99997443701165e+00   0.00000000000000e+00 	9.81244357783806e-06	 2.60625207924106e-04	0.00000000000000e+00		1.00000003401089e+00
1.33000000000000e+00    	2.39532866138468e-06 	 2.99997714815186e+00   0.00000000000000e+00 	9.41039953752664e-06	 2.81569052395397e-04	0.00000000000000e+00		1.00000003968484e+00
1.34000000000000e+00    	2.48717540727069e-06 	 2.99998006753842e+00   0.00000000000000e+00 	8.94900420247348e-06	 3.02256571417980e-04	0.00000000000000e+00		1.00000004571956e+00
1.35000000000000e+00    	2.57410901406576e-06 	 2.99998319206546e+00   0.00000000000000e+00 	8.42770079307646e-06	 3.22578728826043e-04	0.00000000000000e+00		1.00000005206403e+00
1.36000000000000e+00    	2.65552872191781e-06 	 2.99998651752202e+00   0.00000000000000e+00 	7.84619895192309e-06	 3.42423614832534e-04	0.00000000000000e+00		1.00000005865775e+00
1.37000000000000e+00    	2.73083225239279e-06 	 2.99999003856558e+00   0.00000000000000e+00 	7.20448734911181e-06	 3.61676903278071e-04	0.00000000000000e+00		1.00000006543104e+00
1.38000000000000e+00    	2.79941865829963e-06 	 2.99999374870026e+00   0.00000000000000e+00 	6.50284544430530e-06	 3.80222338608115e-04	0.00000000000000e+00		1.00000007230565e+00
1.39000000000000e+00    	2.86069128654615e-06 	 2.99999764026015e+00   0.00000000000000e+00 	5.74185431604886e-06	 3.97942251002615e-04	0.00000000000000e+00		1.00000007919550e+00
1.40000000000000e+00    	2.91406084424791e-06 	 3.00000170439780e+00   0.00000000000000e+00 	4.92240646816336e-06	 4.14718097880439e-04	0.00000000000000e+00		1.00000008600766e+00
1.41000000000000e+00    	2.95894855740772e-06 	 3.00000593107832e+00   0.00000000000000e+00 	4.04571452253327e-06	 4.30431029802930e-04	0.00000000000000e+00		1.00000009264362e+00
1.42000000000000e+00    	2.99478941057539e-06 	 3.00001030907922e+00   0.00000000000000e+00 	3.11331870741044e-06	 4.44962478607898e-04	0.00000000000000e+00		1.00000009900065e+00
1.43000000000000e+00    	3.02103545498904e-06 	 3.00001482599630e+00   0.00000000000000e+00 	2.12709305050847e-06	 4.58194765418489e-04	0.00000000000000e+00		1.00000010497348e+00
1.44000000000000e+00    	3.03715917179438e-06 	 3.00001946825558e+00   0.00000000000000e+00 	1.08925018674102e-06	 4.70011725991952e-04	0.00000000000000e+00		1.00000011045610e+00
1.45000000000000e+00    	3.04265687604234e-06 	 3.00002422113168e+00   0.00000000000000e+00 	2.34469153644974e-09	 4.80299350702311e-04	0.00000000000000e+00		1.00000011534373e+00
1.46000000000000e+00    	3.03705214628204e-06 	 3.00002906877264e+00   0.00000000000000e+00 	-1.13072514767784e-06	 4.88946436289682e-04	0.00000000000000e+00		1.00000011953494e+00
1.47000000000000e+00    	3.01989926370363e-06 	 3.00003399423120e+00   0.00000000000000e+00 	-2.30671720690265e-06	 4.95845246358461e-04	0.00000000000000e+00		1.00000012293391e+00
