tfwhm	phi	r	period	raio_max	px_mean	x_f	eta
1190	0.00000000000000e+00	1.00000000000000e+00	2.68332488540292e+02	3.79443076409204e-01	-9.74782053198092e-01	-1.36526157000000e+03	3.06283101699669e+01
1200	0.00000000000000e+00	1.00000000000000e+00	2.93857156580418e+02	3.78500121425951e-01	-9.74931019097021e-01	-1.36563296000000e+03	3.35417756767762e+01
1210	0.00000000000000e+00	1.00000000000000e+00	2.68030389997640e+02	3.77096910551531e-01	-9.75082288230724e-01	-1.36600135000000e+03	3.05938276966869e+01
1220	0.00000000000000e+00	1.00000000000000e+00	2.68407717819290e+02	3.76244629561163e-01	-9.75228994893022e-01	-1.36636280000000e+03	3.06368970753526e+01
1230	0.00000000000000e+00	1.00000000000000e+00	2.68372607142205e+02	3.75157243379363e-01	-9.75373036218410e-01	-1.36672247000000e+03	3.06328894327676e+01
1240	0.00000000000000e+00	1.00000000000000e+00	2.68471538190156e+02	3.74130038153882e-01	-9.75513091591982e-01	-1.36707602000000e+03	3.06441817322523e+01
1250	0.00000000000000e+00	1.00000000000000e+00	2.68579269832422e+02	3.72835045283278e-01	-9.75653030578741e-01	-1.36742314000000e+03	3.06564785591196e+01
1260	0.00000000000000e+00	1.00000000000000e+00	2.68639250117719e+02	3.71937107234897e-01	-9.75792697354507e-01	-1.36776847000000e+03	3.06633248966323e+01
1270	0.00000000000000e+00	1.00000000000000e+00	2.68661323082708e+02	3.70786496992898e-01	-9.75930638905694e-01	-1.36810936000000e+03	3.07008873277361e+01
1280	0.00000000000000e+00	1.00000000000000e+00	2.68734600214619e+02	3.69807045506950e-01	-9.76065856557313e-01	-1.36844405000000e+03	3.07092609668767e+01
1290	0.00000000000000e+00	1.00000000000000e+00	2.68801755144175e+02	3.68706795276165e-01	-9.76193996737718e-01	-1.36877603000000e+03	3.07169350001246e+01
1300	0.00000000000000e+00	1.00000000000000e+00	2.68861244139758e+02	3.67880916193870e-01	-9.76326901004534e-01	-1.36910456000000e+03	3.07237330197640e+01
1310	0.00000000000000e+00	1.00000000000000e+00	2.97019648662362e+02	3.66730186493489e-01	-9.76455090303211e-01	-1.36942718000000e+03	3.39414943061965e+01
1320	0.00000000000000e+00	1.00000000000000e+00	2.69156198494867e+02	3.65811482334203e-01	-9.76586333176180e-01	-1.36974719000000e+03	3.07574385056118e+01
1330	0.00000000000000e+00	1.00000000000000e+00	2.69151254008548e+02	3.64694777128402e-01	-9.76709606442995e-01	-1.37006286000000e+03	3.07568734815300e+01
1340	0.00000000000000e+00	1.00000000000000e+00	3.00449556744297e+02	3.63462691831025e-01	-9.76835385351887e-01	-1.37037471000000e+03	3.43334421324027e+01
1350	0.00000000000000e+00	1.00000000000000e+00	3.10382049754954e+02	3.62649365681838e-01	-9.76953259110892e-01	-1.37068290000000e+03	3.54701253815429e+01
1360	0.00000000000000e+00	1.00000000000000e+00	2.69506577724562e+02	3.61863914301205e-01	-9.77076482872217e-01	-1.37098626000000e+03	3.07989205902465e+01
1370	0.00000000000000e+00	1.00000000000000e+00	2.69573981468423e+02	3.60985067497811e-01	-9.77198842708569e-01	-1.37128793000000e+03	3.08418691722339e+01
1380	0.00000000000000e+00	1.00000000000000e+00	2.69710941946961e+02	3.59939590627544e-01	-9.77316476830391e-01	-1.37158484000000e+03	3.08575387748337e+01
1390	0.00000000000000e+00	1.00000000000000e+00	2.69627760114580e+02	3.58552246466266e-01	-9.77430229213960e-01	-1.37187834000000e+03	3.08480219691768e+01
1400	0.00000000000000e+00	1.00000000000000e+00	2.69966640180086e+02	3.57962416338161e-01	-9.77550842927601e-01	-1.37217192000000e+03	3.08867931242729e+01
1410	0.00000000000000e+00	1.00000000000000e+00	2.70130201317685e+02	3.57262170731894e-01	-9.77663511051069e-01	-1.37245979000000e+03	3.09055060993903e+01
1420	0.00000000000000e+00	1.00000000000000e+00	2.70253770549133e+02	3.56270816096570e-01	-9.77778348447040e-01	-1.37274324000000e+03	3.09196436138836e+01
1430	0.00000000000000e+00	1.00000000000000e+00	2.70360186298595e+02	3.55001143350977e-01	-9.77893352617718e-01	-1.37302814000000e+03	3.09318186042327e+01
1440	0.00000000000000e+00	1.00000000000000e+00	2.98131014568086e+02	3.54318278820897e-01	-9.78002646787994e-01	-1.37330707000000e+03	3.41090697900729e+01
1450	0.00000000000000e+00	1.00000000000000e+00	2.70738592068168e+02	3.53482667691420e-01	-9.78110794756121e-01	-1.37358046000000e+03	3.09751118819282e+01
1460	0.00000000000000e+00	1.00000000000000e+00	2.70827968846275e+02	3.52699238177818e-01	-9.78220906931825e-01	-1.37385257000000e+03	3.10208282752652e+01
1470	0.00000000000000e+00	1.00000000000000e+00	2.71128450679318e+02	3.51587798659006e-01	-9.78328253544068e-01	-1.37412127000000e+03	3.10552456782475e+01
1480	0.00000000000000e+00	1.00000000000000e+00	2.71329931986549e+02	3.51056303971604e-01	-9.78433122876709e-01	-1.37438534000000e+03	3.10783234905536e+01
1490	0.00000000000000e+00	1.00000000000000e+00	3.13012668142192e+02	3.50021036876463e-01	-9.78538186356683e-01	-1.37464924000000e+03	3.58526937516300e+01
1500	0.00000000000000e+00	1.00000000000000e+00	2.71713801749660e+02	3.49241369553005e-01	-9.78643856320107e-01	-1.37491236000000e+03	3.11222922063855e+01
