0.00000000000000e+00    	0.00000000000000e+00 	 9.51056516300000e-01  	3.09016994370000e-01    -1.00000000000000e+01	 0.00000000000000e+00	0.00000000000000e+00		1.00498756211209e+01
3.75000000000000e+00    	-3.73138443336517e+00 	 9.50603578092563e-01   3.09012735508107e-01 	-1.00097263574745e+01	 3.60447170178257e-02	-9.30590830098304e-05		1.00596183318158e+01
3.78000000000000e+00    	-3.76123544350474e+00 	 9.50741641432337e-01   3.09012480506033e-01 	-1.00046466094237e+01	 5.55631016845041e-02	-7.82794508265226e-05		1.00546527062773e+01
3.81000000000000e+00    	-3.79108603132159e+00 	 9.50928046589309e-01   3.09012260701932e-01 	-9.99867559795932e+00	 6.79523160042664e-02	-7.11181897696921e-05		1.00487875505225e+01
3.84000000000000e+00    	-3.82093628546630e+00 	 9.51138156565764e-01   3.09012040304588e-01 	-9.99264545864538e+00	 7.11088615333455e-02	-7.93156737978695e-05		1.00428093548900e+01
3.87000000000000e+00    	-3.85078640826682e+00 	 9.51342766142484e-01   3.09011771365090e-01 	-9.98742383387642e+00	 6.41623011981309e-02	-1.02733376075346e-04		1.00375670184030e+01
3.90000000000000e+00    	-3.88063661394790e+00 	 9.51512101555020e-01   3.09011419520474e-01 	-9.98378636323006e+00	 4.76593531900891e-02	-1.32699322028251e-04		1.00338557682565e+01
3.93000000000000e+00    	-3.91048702074543e+00 	 9.51620116245832e-01   3.09010984448147e-01 	-9.98230433447133e+00	 2.35502297630460e-02	-1.56155766598671e-04		1.00322955729839e+01
3.96000000000000e+00    	-3.94033759670220e+00 	 9.51648456147469e-01   3.09010502813599e-01 	-9.98326317549156e+00	 -5.03154047451397e-03	-1.62694718288796e-04		1.00332232594513e+01
3.99000000000000e+00    	-3.97018819249857e+00 	 9.51589474324532e-01   3.09010030374496e-01 	-9.98661998470511e+00	 -3.41733847080620e-02	-1.50721603122100e-04		1.00366202758623e+01
4.02000000000000e+00    	-4.00003864646644e+00 	 9.51447789431765e-01   3.09009611598184e-01 	-9.99200180359061e+00	 -5.97197514131073e-02	-1.29142314082732e-04		1.00420947271147e+01
4.05000000000000e+00    	-4.02988890347499e+00 	 9.51240093780678e-01   3.09009253063402e-01 	-9.99874276093495e+00	 -7.78648204619026e-02	-1.13227048421025e-04		1.00489262979900e+01
4.08000000000000e+00    	-4.05973907682489e+00 	 9.50993186749758e-01   3.09008916080642e-01 	-1.00059571749029e+01	 -8.57156129165666e-02	-1.16528745560820e-04		1.00561685629203e+01
4.11000000000000e+00    	-4.08958941028065e+00 	 9.50740483605853e-01   3.09008534199944e-01 	-1.00126448979278e+01	 -8.17420484106514e-02	-1.43126152178045e-04		1.00627898534633e+01
